CAM:	@@@ .. @@ (H)=	No=,
No=,	he doesn't --
... And I keep telling him,	get out of that relationship,
get out of that relationship,	.. before you have children.
.. before you have children.	... Just get out of it,
... Just get out of it,	.. don't carry any by- baggage with you.
.. don't carry any by- baggage with you.	... Always my biggest theory.
... Always my biggest theory.	Don't carry any excess baggage.
Don't carry any excess baggage.	CAM:	.. Mm=.
CAM:	.. Mm=.	LAJUAN:	With you.
LAJUAN:	With you.	(H) And he lo=ves her.
(H) And he lo=ves her.	But what he doesn't know how to separate is,
But what he doesn't know how to separate is,	(H) he loves her but he's not in love with her.
(H) he loves her but he's not in love with her.	... You know what I mean,
... You know what I mean,	[he he just --
[he he just --	CAM:	[Right right.
CAM:	[Right right.	Oh] yeah,
Oh] yeah,	LAJUAN:	(H)]
LAJUAN:	(H)]	CAM:	you can love a person,
CAM:	you can love a person,	.. but .. you're not [in love] with them,
.. but .. you're not [in love] with them,	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	CAM:	It's not sexual.
CAM:	It's not sexual.	LAJUAN:	... Yeah.
LAJUAN:	... Yeah.	... (H) And that's really har[=d].
... (H) And that's really har[=d].	CAM:	[(THROAT)]
CAM:	[(THROAT)]	LAJUAN:	.. Becau=se,
LAJUAN:	.. Becau=se,	CAM:	(SNIFF)
CAM:	(SNIFF)	LAJUAN:	... you you find it very difficult to be,
LAJUAN:	... you you find it very difficult to be,	.. to love someone and,
.. to love someone and,	when you tell someone you love them,
when you tell someone you love them,	(H) they misunderstand,
(H) they misunderstand,	what love is all about.
what love is all about.	So,
So,	... (TSK) I don't know.
... (TSK) I don't know.	But I d- I,
But I d- I,	.. (H) I think if there was ever anybody,
.. (H) I think if there was ever anybody,	.. I truly --
.. I truly --	But he k- --
But he k- --	.. He=,
.. He=,	.. (H) everybody has that one person who breaks their heart,
.. (H) everybody has that one person who breaks their heart,	and he broke my heart.
and he broke my heart.	.. Just incredibly because,
.. Just incredibly because,	.. (H) I wasn't really in love with his looks,
.. (H) I wasn't really in love with his looks,	I= just,
I= just,	... I've never met anybody who when you .. they touched you,
... I've never met anybody who when you .. they touched you,	just,
just,	.. there was so much warmth.
.. there was so much warmth.	And so much,
And so much,	.. (H) just --
.. (H) just --	There was so much .. energy there.
There was so much .. energy there.	.. (H) Tha=t,
.. (H) Tha=t,	.. I mean,
.. I mean,	CAM:	(TSK) So you've .. kept [in con]tact with him?
CAM:	(TSK) So you've .. kept [in con]tact with him?	LAJUAN:	[<P % Mm P>],
LAJUAN:	[<P % Mm P>],	.. yes=.
.. yes=.	Since nineteen --
Since nineteen --	... Yeah.
... Yeah.	CAM:	... That's ama[zing].
CAM:	... That's ama[zing].	LAJUAN:	[I've been] here,
LAJUAN:	[I've been] here,	for all this time,
for all this time,	CAM:	.. What does he just call,
CAM:	.. What does he just call,	or you call,
or you call,	<P<X when he's X>P> --
<P<X when he's X>P> --	LAJUAN:	No.
LAJUAN:	No.	.. He calls me.
.. He calls me.	... I can't call him.
... I can't call him.	CAM:	... Oh.
CAM:	... Oh.	LAJUAN:	... (H)= Actually I can,
LAJUAN:	... (H)= Actually I can,	cause his wife knows that we're friends.
cause his wife knows that we're friends.	.. But I don't choose to call him.
.. But I don't choose to call him.	... (H) He --
... (H) He --	... Like he used to travel,
... Like he used to travel,	[around] the country,
[around] the country,	CAM:	[(SNIFF)]
CAM:	[(SNIFF)]	LAJUAN:	they live --
LAJUAN:	they live --	They used to live in [~Valencia] California,
They used to live in [~Valencia] California,	CAM:	[(THROAT)]
CAM:	[(THROAT)]	LAJUAN:	now they live somewhere,
LAJUAN:	now they live somewhere,	... they just moved,
... they just moved,	cause his wife got a new job.
cause his wife got a new job.	(H) He quit his job for her,
(H) He quit his job for her,	... for her= .. job.
... for her= .. job.	Cause she moved to California for them,
Cause she moved to California for them,	cause they were living in Washington DC.
cause they were living in Washington DC.	(H) So he used to travel all around the world.
(H) So he used to travel all around the world.	(H) Well whenever he come to Wisconsin for the dairy expo,
(H) Well whenever he come to Wisconsin for the dairy expo,	or he'd come here,
or he'd come here,	.. (H) go to Chicago for .. some reason,
.. (H) go to Chicago for .. some reason,	to take businessmen around,
to take businessmen around,	(H) what he did was,
(H) what he did was,	(H) .. %uh,
(H) .. %uh,	he took f=- uh farmers around from arou- different parts of the world,
he took f=- uh farmers around from arou- different parts of the world,	so that they can look at farms.
so that they can look at farms.	(H) So his travel a lot of times was in Wisconsin,
(H) So his travel a lot of times was in Wisconsin,	.. because of the farms here.
.. because of the farms here.	.. (H) They would see how= .. things were done and,
.. (H) They would see how= .. things were done and,	he- --
he- --	... He like took them around .. (TSK) the world.
... He like took them around .. (TSK) the world.	.. (H) You know doing this.
.. (H) You know doing this.	And he traveled all over the world.
And he traveled all over the world.	(H) See,
(H) See,	tha=t's why,
tha=t's why,	... I think ~Darren no=w,
... I think ~Darren no=w,	is getting to this point where,
is getting to this point where,	(H) .. he's with ~Lauren all the ti=me.
(H) .. he's with ~Lauren all the ti=me.	... And before,
... And before,	~Darren traveled like ninety percent of the year.
~Darren traveled like ninety percent of the year.	... He was gone.
... He was gone.	.. I mean,
.. I mean,	~Darren was gone ninety percent of the year.
~Darren was gone ninety percent of the year.	... So now he's with ~Lauren .. ev=ery day,
... So now he's with ~Lauren .. ev=ery day,	and it's been this way for the last three or four months.
and it's been this way for the last three or four months.	.. (H) And I [think k] --
.. (H) And I [think k] --	CAM:	[Oh that's] all?
CAM:	[Oh that's] all?	... For the last three or four months?
... For the last three or four months?	[Oh] --
[Oh] --	LAJUAN:	[He just] started stop --
LAJUAN:	[He just] started stop --	They've been married six years.
They've been married six years.	.. He [just stopped trav]eling.
.. He [just stopped trav]eling.	CAM:	[Oh=]?
CAM:	[Oh=]?	LAJUAN:	... And I think now it's just like,
LAJUAN:	... And I think now it's just like,	... I don't know if this is for me,
... I don't know if this is for me,	I don't know if this is right,
I don't know if this is right,	(H) and he's starting to call me.
(H) and he's starting to call me.	And he's starting to tell me how much he cares for me,
And he's starting to tell me how much he cares for me,	and how he has feelings for me,
and how he has feelings for me,	and I --
and I --	(H) I know that you're with ~Scott.
(H) I know that you're with ~Scott.	(H) And I'm just li=ke,
(H) And I'm just li=ke,	... and I'm not giving up my life for you.
... and I'm not giving up my life for you.	.. (H) He asked me once,
.. (H) He asked me once,	right out of college,
right out of college,	when he moved to Washington DC,
when he moved to Washington DC,	... when I came back,
... when I came back,	from California,
from California,	and I was here,
and I was here,	and I had just started working,
and I had just started working,	(H) he asked me to move to ~Madison.
(H) he asked me to move to ~Madison.	... To be with him.
... To be with him.	.. That was when he was on the peak of thinking maybe I am gay.
.. That was when he was on the peak of thinking maybe I am gay.	.. (H) And I said,
.. (H) And I said,	... well=,
... well=,	.. why don't I come out there first,
.. why don't I come out there first,	and we'll see.
and we'll see.	So I went out there,
So I went out there,	(H) and he goes,
(H) and he goes,	(H) well yeah you can move out here and get your own apartment,
(H) well yeah you can move out here and get your own apartment,	whereas he owned a three-bedroom hou=se,
whereas he owned a three-bedroom hou=se,	... and lived by himself,
... and lived by himself,	and I'm like,
and I'm like,	... okay,
... okay,	can I afford to move out here,
can I afford to move out here,	get a apartment,
get a apartment,	until I fi=nd --
until I fi=nd --	He never said move in here with me until you find a place or whatever.
He never said move in here with me until you find a place or whatever.	(H) It was just li=ke,
(H) It was just li=ke,	.. (H) and then he wanted the still straight life,
.. (H) and then he wanted the still straight life,	... and this and that and other.
... and this and that and other.	So now he claims bisexuality,
So now he claims bisexuality,	.. (H) but he's moving closer I think <X to steps of being X> gay,
.. (H) but he's moving closer I think <X to steps of being X> gay,	.. (H) because when he was talking to me on the phone last week,
.. (H) because when he was talking to me on the phone last week,	... he was telling me how much he still loved me.
... he was telling me how much he still loved me.	... And he doesn't know what to do about this whole sit[uation].
... And he doesn't know what to do about this whole sit[uation].	CAM:	[How could he] really love you though,
CAM:	[How could he] really love you though,	he doesn't know you that much.
he doesn't know you that much.	LAJUAN:	(H) He doesn't know me,
LAJUAN:	(H) He doesn't know me,	because in the last ten years,
because in the last ten years,	(H) we talked to each other maybe once a month.
(H) we talked to each other maybe once a month.	CAM:	... Well that's quite a bit though.
CAM:	... Well that's quite a bit though.	LAJUAN:	And actually maybe not even that.
LAJUAN:	And actually maybe not even that.	Sometimes it's every other month.
Sometimes it's every other month.	When he was traveling around the world,
When he was traveling around the world,	(H) like he went to Germany for six weeks.
(H) like he went to Germany for six weeks.	And he sent me his frequent flyer ticket.
And he sent me his frequent flyer ticket.	.. (H) .. Cause he was there,
.. (H) .. Cause he was there,	.. training to t- speak,
.. training to t- speak,	learning to speak German in a six-week course.
learning to speak German in a six-week course.	(H) And he sent [me],
(H) And he sent [me],	CAM:	[(THROAT)]
CAM:	[(THROAT)]	LAJUAN:	.. a free- k- to- .. to come and spend a week with him,
LAJUAN:	.. a free- k- to- .. to come and spend a week with him,	and I said no.
and I said no.	(H) But at that time,
(H) But at that time,	.. I would- been with ~Scott like four years,
.. I would- been with ~Scott like four years,	and I was just like,
and I was just like,	@(Hx)
@(Hx)	.. I don't think so.
.. I don't think so.	You're not gonna use me,
You're not gonna use me,	for your little sex thing for that (H) week,
for your little sex thing for that (H) week,	and then that's it,
and then that's it,	so,
so,	... (TSK) (H) I mean,
... (TSK) (H) I mean,	... I st- I love him,
... I st- I love him,	.. [I real]ly do but,
.. [I real]ly do but,	CAM:	[<P Hm P>].
CAM:	[<P Hm P>].	LAJUAN:	I don't --
LAJUAN:	I don't --	... (H) I also don't trust him.
... (H) I also don't trust him.	.. I don't think any man,
.. I don't think any man,	.. (H) who ... is as sexual as he w- .. is,
.. (H) who ... is as sexual as he w- .. is,	... % and traveled as much as he did,
... % and traveled as much as he did,	.. could stay,
.. could stay,	.. celibate,
.. celibate,	or- or stay t- t- committed to his wi=fe.
or- or stay t- t- committed to his wi=fe.	CAM:	.. Right.
CAM:	.. Right.	LAJUAN:	.. I mean when y- I saw him once in Chicago,
LAJUAN:	.. I mean when y- I saw him once in Chicago,	... I went to Chicago.
... I went to Chicago.	.. About .. four years ago?
.. About .. four years ago?	.. Five years ago?
.. Five years ago?	... A=nd he was in Chicago,
... A=nd he was in Chicago,	in this <VOX really nice VOX> hotel,
in this <VOX really nice VOX> hotel,	and he (H) said,
and he (H) said,	why don't you come and,
why don't you come and,	.. you know,
.. you know,	I='m free Saturday,
I='m free Saturday,	... and Sunday.
... and Sunday.	Why don't you come.
Why don't you come.	And I said fine.
And I said fine.	So I took the train to Chicago on Saturday,
So I took the train to Chicago on Saturday,	.. (H) and I thought okay no big deal,
.. (H) and I thought okay no big deal,	he'll have .. a room with two double beds.
he'll have .. a room with two double beds.	.. No it was a king-size bed.
.. No it was a king-size bed.	(H) So I thought,
(H) So I thought,	okay,
okay,	no big deal,
no big deal,	I took a sleeping bag,
I took a sleeping bag,	just in case.
just in case.	(H) So,
(H) So,	here I am,
here I am,	.. taking my sleeping bag,
.. taking my sleeping bag,	I roll it out on the floor,
I roll it out on the floor,	and he goes,
and he goes,	(H)= %(Hx)
(H)= %(Hx)	well you don't have to worry,
well you don't have to worry,	you can share this bed with me,
you can share this bed with me,	I love ~Lauren,
I love ~Lauren,	... and --
... and --	No= I take that back.
No= I take that back.	.. (H) It was more than five years ago,
.. (H) It was more than five years ago,	because he's been married to ~Lauren for six years this coming May,
because he's been married to ~Lauren for six years this coming May,	... no.
... no.	Seven years this coming May.
Seven years this coming May.	(H) So it was m=ore than six years ago because,
(H) So it was m=ore than six years ago because,	.. it was when he asked ~Lauren to marry him,
.. it was when he asked ~Lauren to marry him,	it was right around Christmas time.
it was right around Christmas time.	(H) So it's been about six and a half years so,
(H) So it's been about six and a half years so,	(H) he asked ~Lauren to marry him,
(H) he asked ~Lauren to marry him,	(H) and he says I really love ~Lauren,
(H) and he says I really love ~Lauren,	X I'm gonna marry her,
X I'm gonna marry her,	and blah blah blah this.
and blah blah blah this.	(H) So I get in the bed,
(H) So I get in the bed,	I thought fine,
I thought fine,	no big deal.
no big deal.	.. I'm wearing my t-shirt and my underwear,
.. I'm wearing my t-shirt and my underwear,	so I get in the bed,
so I get in the bed,	... (H) and in the morning I wake up,
... (H) and in the morning I wake up,	.. and here he is,
.. and here he is,	... fondling me.
... fondling me.	... (TSK) So I'm like,
... (TSK) So I'm like,	okay,
okay,	so,
so,	do you leave,
do you leave,	or what do you do.
or what do you do.	... You know,
... You know,	so %,
so %,	.. I'm like ~Darren,
.. I'm like ~Darren,	... % he goes,
... % he goes,	just don't say anything.
just don't say anything.	And I said ~Darren,
And I said ~Darren,	... this isn't right,
... this isn't right,	.. you don't really want to be with me,
.. you don't really want to be with me,	.. you just want .. the sexual part.
.. you just want .. the sexual part.	... And I said that's all there is to it,
... And I said that's all there is to it,	and I just can't do this.
and I just can't do this.	... And ... he accepted it,
... And ... he accepted it,	and I I don't know= --
and I I don't know= --	... He always,
... He always,	and he'll always ask me,
and he'll always ask me,	(H) well how's ~Scott,
(H) well how's ~Scott,	.. (H) how is your sex life with ~Sco=tt.
.. (H) how is your sex life with ~Sco=tt.	.. Are you happy with ~Scott,
.. Are you happy with ~Scott,	.. you know,
.. you know,	do you still miss me.
do you still miss me.	.. (H) And I'm like,
.. (H) And I'm like,	.. well ~Darren I haven't told you I missed you in years.
.. well ~Darren I haven't told you I missed you in years.	What are you [talking about].
What are you [talking about].	CAM:	[@(Hx)= @@@@@]
CAM:	[@(Hx)= @@@@@]	LAJUAN:	You know,
LAJUAN:	You know,	@it's like,
@it's like,	k- excuse me.
k- excuse me.	[(H) .. %%]
[(H) .. %%]	CAM:	[% Is he like full of himself] or what.
CAM:	[% Is he like full of himself] or what.	LAJUAN:	... (TSK) (H) And he's another one too.
LAJUAN:	... (TSK) (H) And he's another one too.	CAM:	(THROAT)
CAM:	(THROAT)	LAJUAN:	He knows .. he's .. good-looking.
LAJUAN:	He knows .. he's .. good-looking.	He he's another one.
He he's another one.	.. When we were were in college,
.. When we were were in college,	he knew it.
he knew it.	CAM:	.. Mm.
CAM:	.. Mm.	LAJUAN:	.. And .. and what really gets me is th- % that,
LAJUAN:	.. And .. and what really gets me is th- % that,	... (TSK) (H) I think,
... (TSK) (H) I think,	.. the reason I always attra=cted,
.. the reason I always attra=cted,	like I attracted a lot of football players,
like I attracted a lot of football players,	(H) is people always .. got the impression .. I was gay=.
(H) is people always .. got the impression .. I was gay=.	.. (H) So,
.. (H) So,	if they knew you were gay=,
if they knew you were gay=,	and they wanted some .. experience,
and they wanted some .. experience,	and they .. (H) they didn't want to approach another .. say man in your fra=t.
and they .. (H) they didn't want to approach another .. say man in your fra=t.	.. (H) .. And they kinda thou=ght you were gay=,
.. (H) .. And they kinda thou=ght you were gay=,	and nobody really wanted to (H) like say it,
and nobody really wanted to (H) like say it,	.. they would approach me.
.. they would approach me.	CAM:	.. [Mm=].
CAM:	.. [Mm=].	LAJUAN:	[(H) So] I always got all the good-looking ones to always like,
LAJUAN:	[(H) So] I always got all the good-looking ones to always like,	.. come after me.
.. come after me.	CAM:	.. <P Mm= P>.
CAM:	.. <P Mm= P>.	LAJUAN:	And that's how I ended up with ~Ron,
LAJUAN:	And that's how I ended up with ~Ron,	and how I ended up with ~Darren.
and how I ended up with ~Darren.	And I and I realize that,
And I and I realize that,	(H) you know I always think well,
(H) you know I always think well,	especially ~Ron.
especially ~Ron.	I mean <% he= was just like %>,
I mean <% he= was just like %>,	.. oh,
.. oh,	.. just .. perfect.
.. just .. perfect.	Well ~Darren was too but,
Well ~Darren was too but,	(H) ~Darren,
(H) ~Darren,	(H) a lot of people don't like auburn hair or reddish brown hair.
(H) a lot of people don't like auburn hair or reddish brown hair.	They don't .. ca- care for it.
They don't .. ca- care for it.	But ~Ron just is just a- --
But ~Ron just is just a- --	.. (H) just a beautiful man.
.. (H) just a beautiful man.	They both were but,
They both were but,	(H) I find that that's what happens in these fraternities.
(H) I find that that's what happens in these fraternities.	Is you find a man who .. is curious about his sexuality.
Is you find a man who .. is curious about his sexuality.	.. (H) And if they find someone who they question,
.. (H) And if they find someone who they question,	.. okay,
.. okay,	is he gay or isn't he gay,
is he gay or isn't he gay,	.. (H) then they will tend to .. go after you a little bit faster.
.. (H) then they will tend to .. go after you a little bit faster.	(H) So then you think,
(H) So then you think,	okay you've seen some of these guys in the bars and you think,
okay you've seen some of these guys in the bars and you think,	... (TSK) like I was out .. at the Triangle,
... (TSK) like I was out .. at the Triangle,	and I saw this guy,
and I saw this guy,	he was so= good-looking,
he was so= good-looking,	I'm like,
I'm like,	CAM:	(THROAT)
CAM:	(THROAT)	LAJUAN:	(H) how the hell did he end up with that .. <VOX thi=ng VOX>.
LAJUAN:	(H) how the hell did he end up with that .. <VOX thi=ng VOX>.	(H) And then I thought you know,
(H) And then I thought you know,	I betcha he's just out --
I betcha he's just out --	And he was from Marquette,
And he was from Marquette,	(H) and he .. was just finding out,
(H) and he .. was just finding out,	and he met this guy=,
and he met this guy=,	.. and that's why he was out with him.
.. and that's why he was out with him.	CAM:	Oh=[=],
CAM:	Oh=[=],	LAJUAN:	[You] know,
LAJUAN:	[You] know,	I mean,
I mean,	CAM:	[When was] this,
CAM:	[When was] this,	LAJUAN:	[it-] --
LAJUAN:	[it-] --	.. (TSK) (H) This was probab- --
.. (TSK) (H) This was probab- --	This was a while back.
This was a while back.	This was --
This was --	CAM:	They young?
CAM:	They young?	LAJUAN:	.. Yeah.
LAJUAN:	.. Yeah.	[Well the w-] --
[Well the w-] --	CAM:	[Oh].
CAM:	[Oh].	LAJUAN:	(H) They were young.
LAJUAN:	(H) They were young.	(H) The one guy in particular was young.
(H) The one guy in particular was young.	The guy that was from Marquette.
The guy that was from Marquette.	CAM:	.. [Mm].
CAM:	.. [Mm].	LAJUAN:	[Was] probably,
LAJUAN:	[Was] probably,	I f- --
I f- --	I wouldn't think he would be more than ... twenty,
I wouldn't think he would be more than ... twenty,	... twenty-one,
... twenty-one,	I couldn't- --
I couldn't- --	But he shouldn't have been in the Triangle if you want to know the truth.
But he shouldn't have been in the Triangle if you want to know the truth.	... So=,
... So=,	.. but,
.. but,	.. um=,
.. um=,	.. no=,
.. no=,	(H) he was just very ni=ce.
